RESULT	PLAYER	OPPONENT	WIN RATE	LOSE RATE	TIE RATE
LOSE	(ROCK|PAPER|SCISSORS|WELL)	(PAPER|SCISSORS|WELL)	32.99	42.03	24.98
WIN	(ROCK|PAPER|SCISSORS|WELL)	(ROCK|PAPER|SCISSORS)	40.96	33.35	25.69
LOSE	(ROCK|PAPER|SCISSORS|WELL)	(ROCK|PAPER|WELL)	33.63	41.76	24.61
WIN	(ROCK|PAPER|SCISSORS|WELL)	(ROCK|SCISSORS|WELL)	41.88	33.07	25.05
LOSE	(ROCK|PAPER|SCISSORS|WELL)	(PAPER|WELL)	24.92	49.87	25.21
TIE	(ROCK|PAPER|SCISSORS|WELL)	(ROCK|PAPER)	37.02	38.07	24.91
WIN	(ROCK|PAPER|SCISSORS|WELL)	(ROCK|SCISSORS)	49.26	25.42	25.32
TIE	(ROCK|PAPER|SCISSORS|WELL)	(ROCK|WELL)	37.66	37.34	25.00
TIE	(ROCK|PAPER|SCISSORS|WELL)	(PAPER|SCISSORS)	37.66	37.87	24.47
TIE	(ROCK|PAPER|SCISSORS|WELL)	(SCISSORS|WELL)	37.01	38.04	24.95
WIN	(ROCK|PAPER|SCISSORS|WELL)	(ROCK)	50.81	25.01	24.18
LOSE	(ROCK|PAPER|SCISSORS|WELL)	(PAPER)	25.27	50.03	24.70
WIN	(ROCK|PAPER|SCISSORS|WELL)	(SCISSORS)	50.47	24.40	25.13
LOSE	(ROCK|PAPER|SCISSORS|WELL)	(WELL)	25.07	49.31	25.62
WIN	(PAPER|SCISSORS|WELL)	(ROCK|PAPER|SCISSORS|WELL)	40.49	34.25	25.26
WIN	(PAPER|SCISSORS|WELL)	(ROCK|PAPER|SCISSORS)	44.13	33.71	22.16
WIN	(PAPER|SCISSORS|WELL)	(ROCK|PAPER|WELL)	44.96	33.41	21.63
WIN	(PAPER|SCISSORS|WELL)	(ROCK|SCISSORS|WELL)	44.23	34.07	21.70
TIE	(PAPER|SCISSORS|WELL)	(PAPER|WELL)	33.68	33.93	32.39
WIN	(PAPER|SCISSORS|WELL)	(ROCK|PAPER)	49.43	33.86	16.71
WIN	(PAPER|SCISSORS|WELL)	(ROCK|SCISSORS)	49.26	34.36	16.38
WIN	(PAPER|SCISSORS|WELL)	(ROCK|WELL)	49.55	33.79	16.66
TIE	(PAPER|SCISSORS|WELL)	(PAPER|SCISSORS)	32.94	33.61	33.45
TIE	(PAPER|SCISSORS|WELL)	(SCISSORS|WELL)	33.60	32.43	33.97
WIN	(PAPER|SCISSORS|WELL)	(ROCK)	66.75	33.25	0.00
TIE	(PAPER|SCISSORS|WELL)	(PAPER)	33.91	32.89	33.20
TIE	(PAPER|SCISSORS|WELL)	(SCISSORS)	33.94	32.78	33.28
TIE	(PAPER|SCISSORS|WELL)	(WELL)	32.81	33.31	33.88
LOSE	(ROCK|PAPER|SCISSORS)	(ROCK|PAPER|SCISSORS|WELL)	33.60	41.37	25.03
LOSE	(ROCK|PAPER|SCISSORS)	(PAPER|SCISSORS|WELL)	34.20	43.94	21.86
LOSE	(ROCK|PAPER|SCISSORS)	(ROCK|PAPER|WELL)	33.18	43.90	22.92
LOSE	(ROCK|PAPER|SCISSORS)	(ROCK|SCISSORS|WELL)	33.22	44.43	22.35
LOSE	(ROCK|PAPER|SCISSORS)	(PAPER|WELL)	33.84	50.07	16.09
TIE	(ROCK|PAPER|SCISSORS)	(ROCK|PAPER)	32.52	34.14	33.34
TIE	(ROCK|PAPER|SCISSORS)	(ROCK|SCISSORS)	33.18	34.16	32.66
LOSE	(ROCK|PAPER|SCISSORS)	(ROCK|WELL)	33.37	50.14	16.49
TIE	(ROCK|PAPER|SCISSORS)	(PAPER|SCISSORS)	32.91	33.91	33.18
LOSE	(ROCK|PAPER|SCISSORS)	(SCISSORS|WELL)	33.32	50.10	16.58
TIE	(ROCK|PAPER|SCISSORS)	(ROCK)	33.40	33.55	33.05
TIE	(ROCK|PAPER|SCISSORS)	(PAPER)	33.40	33.73	32.87
TIE	(ROCK|PAPER|SCISSORS)	(SCISSORS)	33.12	33.25	33.63
LOSE	(ROCK|PAPER|SCISSORS)	(WELL)	33.00	67.00	0.00
WIN	(ROCK|PAPER|WELL)	(ROCK|PAPER|SCISSORS|WELL)	41.58	33.51	24.91
LOSE	(ROCK|PAPER|WELL)	(PAPER|SCISSORS|WELL)	32.52	45.76	21.72
WIN	(ROCK|PAPER|WELL)	(ROCK|PAPER|SCISSORS)	45.01	32.85	22.14
WIN	(ROCK|PAPER|WELL)	(ROCK|SCISSORS|WELL)	56.15	22.18	21.67
LOSE	(ROCK|PAPER|WELL)	(PAPER|WELL)	16.51	50.81	32.68
TIE	(ROCK|PAPER|WELL)	(ROCK|PAPER)	33.49	32.68	33.83
WIN	(ROCK|PAPER|WELL)	(ROCK|SCISSORS)	66.62	16.76	16.62
WIN	(ROCK|PAPER|WELL)	(ROCK|WELL)	50.66	15.96	33.38
LOSE	(ROCK|PAPER|WELL)	(PAPER|SCISSORS)	32.94	49.70	17.36
WIN	(ROCK|PAPER|WELL)	(SCISSORS|WELL)	51.31	32.57	16.12
WIN	(ROCK|PAPER|WELL)	(ROCK)	67.14	0.00	32.86
LOSE	(ROCK|PAPER|WELL)	(PAPER)	0.00	66.17	33.83
WIN	(ROCK|PAPER|WELL)	(SCISSORS)	66.32	33.68	0.00
TIE	(ROCK|PAPER|WELL)	(WELL)	32.53	33.05	34.42
LOSE	(ROCK|SCISSORS|WELL)	(ROCK|PAPER|SCISSORS|WELL)	32.78	42.11	25.11
LOSE	(ROCK|SCISSORS|WELL)	(PAPER|SCISSORS|WELL)	34.00	44.11	21.89
WIN	(ROCK|SCISSORS|WELL)	(ROCK|PAPER|SCISSORS)	45.31	32.76	21.93
LOSE	(ROCK|SCISSORS|WELL)	(ROCK|PAPER|WELL)	23.23	54.69	22.08
LOSE	(ROCK|SCISSORS|WELL)	(PAPER|WELL)	16.84	66.48	16.68
LOSE	(ROCK|SCISSORS|WELL)	(ROCK|PAPER)	32.93	49.69	17.38
